business_name,business_category,address,city,latitude,longitude,business_avg_rating,total_reviews_count,reviewer_name,review_rating,review_text,review_date,price_per_person,meal_type,detailed_atmosphere_rating,detailed_food_rating,detailed_service_rating,price_numeric_avg,year,month,day_of_week,hour,clean_review_text,sentiment_score
Barista Wattala at Kelly Felder,Cafe,"811 Negombo Rd, Wattala 11300, Sri Lanka",Wattala,7.0046884,79.8967643,3.8,11,Erantha Gayashan,1,"Visited this outlet around 8:00 AM. The washroom depends on a nearby Clothing outlet (KF) that opens only after 10:00 AM, there was no washroom to use until then. Disappointingly, there was also no place even to wash hands or face, which is inconvenient for morning customers. if you dont have basic facilities, change your operation hours. Basic hygiene facilities should be available during operating hours. Hope management addresses this.",2026-01-30 12:45:00,,Breakfast,1,5,5,,2026,1,Friday,12,visited this outlet around 800 am the washroom depends on a nearby clothing outlet kf that opens only after 1000 am there was no washroom to use until then disappointingly there was also no place even to wash hands or face which is inconvenient for morning customers if you dont have basic facilities change your operation hours basic hygiene facilities should be available during operating hours hope management addresses this,-0.133333333333333
Barista Wattala at Kelly Felder,Cafe,"811 Negombo Rd, Wattala 11300, Sri Lanka",Wattala,7.0046884,79.8967643,3.8,11,Neranjan viduranga,4,"Brista Wattala offers a genuinely pleasant dining experience with a warm and welcoming atmosphere. The staff are extremely friendly, attentive, and always ready to help, which makes you feel comfortable from the moment you walk in. The food is delicious, well-prepared, and served fresh, making it a great place to relax and enjoy a quality meal. Highly recommended for both casual visits and meet-ups.",2026-01-17 07:24:00,"Rs 2,000–3,000",,5,4,5,2500,2026,1,Saturday,7,brista wattala offers a genuinely pleasant dining experience with a warm and welcoming atmosphere the staff are extremely friendly attentive and always ready to help which makes you feel comfortable from the moment you walk in the food is delicious wellprepared and served fresh making it a great place to relax and enjoy a quality meal highly recommended for both casual visits and meetups,0.382179487179487
Barista Wattala at Kelly Felder,Cafe,"811 Negombo Rd, Wattala 11300, Sri Lanka",Wattala,7.0046884,79.8967643,3.8,11,Winston Moraes,5,"Atmosphere is great, less privacy and open to main road",2025-12-30 08:47:00,"Rs 1,000–2,000",,5,4,5,1500,2025,12,Tuesday,8,atmosphere is great less privacy and open to main road,0.2
Barista Wattala at Kelly Felder,Cafe,"811 Negombo Rd, Wattala 11300, Sri Lanka",Wattala,7.0046884,79.8967643,3.8,11,Ti DS,1,"ordered to go. Despite packing charge of 10 percent and special mention to the staff that the order was an intended gift, packing was not done properly. hence when opened the item i ordered was fallen to aside, smudged and distorted and was not able to give it to someone else. As a person who has had exceptional service at barista diner wattala, this experience here is extremely disheartening. disappointed!",2025-12-24 05:06:00,"Rs 1,000–2,000",,5,1,1,1500,2025,12,Wednesday,5,ordered to go despite packing charge of 10 percent and special mention to the staff that the order was an intended gift packing was not done properly hence when opened the item i ordered was fallen to aside smudged and distorted and was not able to give it to someone else as a person who has had exceptional service at barista diner wattala this experience here is extremely disheartening disappointed,-0.0168650793650794
Barista Wattala at Kelly Felder,Cafe,"811 Negombo Rd, Wattala 11300, Sri Lanka",Wattala,7.0046884,79.8967643,3.8,11,Imashi Weerakkody,1,"I ordered one hot chocolate that was delivered in a cup that wasn’t even half full. I also ordered a dark hot chocolate, but it tasted like plain hot water with no flavor at all. Barista has always been my go-to place, so experiences like this are really disappointing.",2025-12-16 08:30:00,"Rs 1,000–2,000",,1,1,1,1500,2025,12,Tuesday,8,i ordered one hot chocolate that was delivered in a cup that wasnt even half full i also ordered a dark hot chocolate but it tasted like plain hot water with no flavor at all barista has always been my goto place so experiences like this are really disappointing,-0.00386904761904762
Barista Wattala at Kelly Felder,Cafe,"811 Negombo Rd, Wattala 11300, Sri Lanka",Wattala,7.0046884,79.8967643,3.8,11,H E M A L,5,Good Hotspot for Barista,2025-12-06 04:36:00,"Rs 3,000–4,000",Other,5,5,5,3500,2025,12,Saturday,4,good hotspot for barista,0.7
Barista Wattala at Kelly Felder,Cafe,"811 Negombo Rd, Wattala 11300, Sri Lanka",Wattala,7.0046884,79.8967643,3.8,11,Elisha Deeshan,5,A very calm and clean environment,2025-10-31 15:44:00,"Rs 1–1,000",,5,5,5,500.5,2025,10,Friday,15,a very calm and clean environment,0.378333333333333
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,MALSHA BANDARA,5,,2026-01-28 17:27:00,,,5,4,5,,2026,1,Wednesday,17,,0
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Bobi indram,1,,2026-01-18 01:50:00,,,4.6,4.6,4.6,,2026,1,Sunday,1,,0
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Sonaly Silva,5,Very nice.. Came after a tiring day. Feels amazing. Thank you!,2026-01-16 10:33:00,,,4,5,5,,2026,1,Friday,10,very nice came after a tiring day feels amazing thank you,0.69
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Winston Moraes,4,Decent place for a coffee,2026-01-08 04:07:00,"Rs 1,000–2,000",,4,4,4,1500,2026,1,Thursday,4,decent place for a coffee,0.166666666666667
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Heshan Goonawardena,5,"The service is excellent, the food and drinks are great too! Highly recommend if you're looking for a place to grab a coffee.",2026-01-05 03:03:00,"Rs 1–1,000",Other,5,5,5,500.5,2026,1,Monday,3,the service is excellent the food and drinks are great too highly recommend if youre looking for a place to grab a coffee,0.653333333333333
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,AC ONE,5,,2025-12-29 17:35:00,,,4.6,4.6,4.6,,2025,12,Monday,17,,0
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Ishan,5,,2025-12-17 03:24:00,,,4,4,5,,2025,12,Wednesday,3,,0
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Sammu Upeka Tharindi Thilini Mali,5,"⭐⭐⭐⭐⭐

Barista Wattala has such a nice vibe perfect for chilling or getting some work done. The space is cozy, relaxing, and the staff is super friendly. Parking is easy too! Plus, Kelly Felder is right next door if you want to do a bit of shopping. Overall, a great spot in Wattala to hang out, relax, or have good conversations with friends.",2025-12-11 07:49:00,"Rs 1,000–2,000",Breakfast,5,5,5,1500,2025,12,Thursday,7,barista wattala has such a nice vibe perfect for chilling or getting some work done the space is cozy relaxing and the staff is super friendly parking is easy too plus kelly felder is right next door if you want to do a bit of shopping overall a great spot in wattala to hang out relax or have good conversations with friends,0.294413919413919
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Udesh Amendran,5,,2025-11-03 15:59:00,"Rs 1,000–2,000",,4,5,5,1500,2025,11,Monday,15,,0
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Abdullah Fazeel,5,,2025-10-25 13:24:00,,,5,5,5,,2025,10,Saturday,13,,0
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Chamodhi Enushika,1,"Very bad customer service. Not taking orders properly and too much of staff working but not even a single attentive person, worst customer service",2025-10-24 08:52:00,"Rs 5,000–6,000",Lunch,4.6,1,4.6,5500,2025,10,Friday,8,very bad customer service not taking orders properly and too much of staff working but not even a single attentive person worst customer service,-0.230238095238095
Barista Wattala Diner,Cafe,"542 A Negombo Rd, Wattala 11300, Sri Lanka",Wattala,6.99308,79.8947744,4.6,241,Ann Dilmi,5,"⭐️⭐️⭐️⭐️⭐️
The food was really good and the service was superb! The staff were very friendly and helpful — they clearly explained everything when we had questions. Truly excellent service!",2025-10-18 12:43:00,"Rs 1,000–2,000",,5,5,5,1500,2025,10,Saturday,12,the food was really good and the service was superb the staff were very friendly and helpful  they clearly explained everything when we had questions truly excellent service,0.6575
